name,url,logo,group
Rajasthan Patrika,https://www.youtube.com/@RajasthanPatrikaTV/live,,Hindi News
AajTak HD,https://www.youtube.com/@aajtak/live,,Hindi News
ABP News,https://www.youtube.com/@ABPNEWS/live,,Hindi News
NDTV,https://www.youtube.com/@NDTV/live,,Hindi News
NDTV Rajasthan,https://www.youtube.com/@NDTVRajasthan/live,,Hindi News
News18 Rajasthan,https://www.youtube.com/@News18India/live,,Hindi News
Zee Rajasthan,https://www.youtube.com/@zeenews/live,,Hindi News
First India News,https://www.youtube.com/user/firstindiatv/live,,Hindi News
A1TV,https://www.youtube.com/@A1TVNEWSOfficial/live,,Hindi News
News18 India,https://www.youtube.com/@News18India/live,,Hindi News
India TV,https://www.youtube.com/@IndiaTV/live,,Hindi News
DD News,https://www.youtube.com/@DDnews/live,,Hindi News
DD National,https://www.youtube.com/DoordarshanNational/live,,Hindi News
TIMES NOW Navbharat,https://www.youtube.com/@timesnownavbharat/live,,Hindi News
Jansatta,https://www.youtube.com/@Jansatta/live,,Hindi News
Good News Today,https://www.youtube.com/@GoodNewsTodayOfficial/live,,Hindi News
Zee Delhi-NCR Haryana,https://www.youtube.com/@ZeeDelhiNcrHaryana/live,,Hindi News
Republic Bharat,https://www.youtube.com/@RepublicBharat/live,,Hindi News
TV9 Bharatvarsh,https://www.youtube.com/@TV9Bharatvarsh/live,,Hindi News
News 24,https://www.youtube.com/@News24thinkfirst/live,,Hindi News
Firstpost,https://www.youtube.com/@Firstpost/live,,English News
